mn_exp_amt,mn_exp_rawtext,diary_index
3000.0,"-400 (I was careless with credit cards in the past, but I recently opened a line of credit with my bank that has a lower interest rate than my credit card, so I transferred the outstanding amount to the LOC. I have around",69
60.0,Investments:  ~,69
35.0,Coworking Space,69
0.0,Phone,69
26.0,Pet Health Plan,69
52.0,(I split the,69
10.0,Gym,69
9.0,Feminine Care,69
0.0,Netflix,69
9.99,Spotify,69
10.99,Sirius XM radio,69
400.0,Savings,69
10.0,"-1,000, depending on my income for the month Additional Expenses Quip Toothbrush Subscription",69
300.0,Housing,70
357.0,Loan Payments,70
0.0,Netflix,70
10.75,Spotify Premium,70
9.95,MoviePass,70
47.0,Car Insurance,70
100.0,Savings:  ~,70
75.0,Phone Bill:  ~,70
1181.0,Rent,71
200.0,", which includes pet rent, hot water, and valet trash pick-up  Student Loan Payment",71
80.0,Cell Phone:  ~,71
500.0,"401k:  I contribute 4% pre-tax and my company matches up to 3%.  Savings:  Anything I don’t spend goes to savings, so I try to put in between",71
1000.0,and,71
0.0,each month. Health Insurance,71
70.0,Internet,71
11.76,Netflix,71
12.81,Hulu,71
15.99,Spotify,71
40.0,Electricity,71
15.0,The New York Times   Subscription,71
0.0,Rent,72
605.0,Student Loan Payment,72
270.0,Utilities,72
95.0,Phone Bill,72
140.0,Gas,72
200.0,Tithes,72
95.0,Car Insurance,72
114.0,Disneyland Pass,72
500.0,Medical Insurance,72
800.0,Credit Card,72
200.0,Private Practice,72
40.0,Gym Membership,72
400.0,Daycare,72
720.0,Rent,73
33300.0,Student Loan Payments:  None. (I paid off my,73
91.0,"Utilities, Internet & Cleaning  ~",73
122.0,Private Health & Life Insurance,73
202.0,Pension,73
24.0,Phone Bill,73
30.0,Public   Transportation Card,73
182.0,Income Tax,73
600.0,Investment,73
730.0,automatically taken out of my savings account to invest in Singapore's Straits Times Index. Savings:  ~,73
725.0,Rent,74
194.75,Student Loan Payments,74
10000.0,. (Just made it to under,74
159.78,"Health, Dental & Vision Insurance",74
26.0,Wifi,74
50.0,Electricity:  ~,74
100.0,. (~,74
64.0,Transportation,74
83.0,for an unlimited pass Cell Phone Bill,74
120.0,paid to my mom Savings,74
36.0,minimum Netflix/Hulu/HBO:  All paid for by family members generous enough to give me their passwords. Advertisement Additional Expenses Spotify,74
1710.0,Rent:  ~,75
800.0,Student Loan Payment:  ~,75
200.0,"(My parents helped me pay for my first semester of grad school, so I pay them back in weekly installments of",75
49.66,Wifi,75
7.99,Netflix,75
4.01,Spotify Premium,75
0.99,iCloud Storage,75
20.0,Stitch Fix Subscription,75
0.0,Amazon Prime,75
114.0,Union Dues,75
1089.0,Rent,76
50.0,Student Loan Payment,76
218.0,Car Payment,76
100.0,Utilities,76
120.0,"which includes hot water, sewage, garbage, and electricity Cable & Internet",76
60.0,Phone Bill,76
90.0,Car   Insurance,76
20.0,Renter's Insurance,76
10.99,which also covers my engagement ring and wedding band Amazon Prime,76
13.99,Netflix,76
313.0,Health Insurance,76
313.0,"although that is reimbursed by work. (I stopped being covered by my parents' insurance at the end of the year. After considering my options, it turns out that it's cheaper for me to get an individual plan and be reimbursed than to be added to the company's plan. I am very excited about this because I can get incredible insurance for a little over",76
824.0,Rent,77
533.0,Car Payment,77
545.0,Student Loan Payment,77
200.0,Savings,77
60.0,"Electric, Water, Trash, TV & Internet:  Varies, but usually ~",77
156.0,after a four-way split Car Insurance,77
11.0,Spotify,77
79.0,Climbing Gym Membership,77
43.0,Disney World Annual Pass,77
99.63,Advertisement Additional Expenses Retirement Savings,77
15.05,"Medical, Dental, Vision & Special Accident Insurance",77
14.0,HSA Contribution,77
3.42,Long-Term Disability Insurance,77
485.0,Rent,78
0.0,Student Loan Payments,78
5.0,Spotify Premium,78
5.0,Amazon Prime,78
4.0,The New York Times,78
0.0,Health Insurance,78
0.0,Cellphone,78
0.0,also paid for by father. Car Insurance,78
60.0,Gas,78
60.0,Advertisement Additional Expenses Blue Apron Subscription,78
0.0,Rent,79
1800.0,Student Loan Payments,79
46850.0,". (My parents paid for my undergraduate by refinancing their mortgage, and now I'm paying them back.",79
225.0,Phone,79
11.0,Netflix,79
9.0,Amazon Prime,79
0.0,. Health Insurance,79
9.0,Dental Insurance,79
4.0,Vision Insurance,79
18.0,Life Insurance,79
1542.0,,79
458.0,IRA,79
204.0,HSA,79
1000.0,. (My employer contributes,79
10000.0,Savings:  I keep,79
1000.0,in a money market account and keep my checking account between,79
3000.0,-,79
5200.0,", investing in index funds when it goes above that. Index Funds",79
31.0,Patreon,79
500.0,Donations,79
6000.0,. (My employer matches,79
175.0,Other Donations:  Last year it averaged to,79
250.0,"/month, and this year I've budgeted",79
1000.0,/month. Money Experiments,79
10.0,Hen Harbor Sponsorship,79
260.0,Advertisement Additional Expenses Car Insurance,79
2538.0,Mortgage,80
132.0,Student Loan Payment,80
300.0,Car Loan,80
50.0,Couch Payment,80
1100.0,JetBlue Credit Card,80
5500.0,. (We have a total of,80
35.0,Water Bill,80
1200.0,Daycare,80
140.0,Sewer,80
350.0,Gas & Electric,80
135.0,Internet & TV,80
25.0,which includes Netflix and Hulu Gym Membership,80
65.0,Pet Insurance,80
185.0,Cell Phone,80
650.0,Savings,80
82.0,I contribute 10% of my salary and my work matches 6%. My husband puts in 5% of his salary and his work puts in 10%. Commuter Rail Pass,80
100.0,which comes out of my paycheck Charitable Donations,80
704.0,Rent,81
175.0,"which includes monthly pet fee, water, garage parking, and renter's insurance. Student Loan Payment",81
45.0,Health Insurance:  ~,81
50.0,,81
30.0,taken out of my paycheck pre-tax and matched by my employer Utilities:  ~,81
35.0,Phone Bill,81
45.0,Internet,81
7.99,Netflix,81
11.99,Amazon Prime,81
163.0,Advertisement Additional Expenses Car Insurance,81
1150.0,Rent,82
0.0,Student Loan Payment,82
30.0,Gas & Electric,82
181.0,Health Insurance,82
5.0,for my single plan Renter's Insurance,82
0.0,Cell Phone,82
30.0,Internet,82
121.0,. Transportation,82
30.0,for my unlimited MetroCard Gym,82
200.0,Savings,82
13000.0,"automatically deducted from my checking account. (I also throw in whatever I have left at the end of the month. I waitressed part-time for about eight months after graduating while living at home, and I saved the majority of my earnings. I have about",82
300.0,Student Loan Payment,83
205.0,from a U.S. savings account Gym,83
70.0,"Energy, Wi-Fi & Gas:  ~",83
5.5,for my portion Netflix,83
14.0,Spotify,83
35.0,Phone,83
395.0,Watch,83
35000.0,Superannuation:  My company contributes 12.53% of my pre-tax wage to my retirement fund. (I currently have,83
1200.0,Savings:  I try to transfer,83
1225.0,Rent:  I pay,84
750.0,and my husband pays,84
0.0,Student Loan Payments,84
45.0,Health Insurance,84
25.0,Transportation,84
80.0,for a monthly bus pass Car Insurance,84
150.0,Utilities,84
0.0,"Hulu, Netflix & HBO",84
0.0,Internet,84
0.0,Phone,84
478.0,Roth IRA,84
1120.0,Long-Term Savings,84
11.2,Advertisement Additional Expenses Therapy,84
1300.0,Mortgage Payment,85
125.0,Student Loan Payment,85
10000.0,. (I have less than,85
475.0,Car Loan Payment,85
160.0,Car & Home Insurance,85
118.0,which my husband and I split equally Internet & Cable,85
11.99,which my husband and I split equally Hulu,85
0.0,Netflix,85
120.0,Advertisement Blue Apron,85
0.0,Cell Phone,85
0.0,Health Insurance,85
300.0,Credit Card Debt,85
400.0,Savings,85
200.0,. I have a direct deposit of,85
99.0,set up for each payday. Additional Expenses Amazon Prime,85
1675.0,Rent,86
0.0,Student Loan Payments,86
1012.0,for me and,86
200.0,"Health, Dental & Vision Insurance",86
140.0,"My husband and I each contribute 10% of our paychecks, pre-tax. Gym Memberships",86
13.0,for us both Spotify,86
16.0,Hulu,86
140.0,Electric & Internet,86
45.0,PlayStation Vue,86
15.0,Renter's Insurance,86
50.0,Phone Plans,86
1.0,.  (I'm on a,86
140.0,CTA Passes:  ~,86
105.0,. (,86
40.0,"for my husband's monthly pass, and roughly",86
2000.0,Savings:  We put,86
2800.0,-,86
1279.0,Rent,87
10.0,". (I live in a one-bedroom, one-bathroom apartment with my dog. My total rent includes",87
0.0,Student Loan Payment,87
17.54,Dental Insurance,87
4.62,Vision Insurance,87
126.92,,87
39.2,Disability & Life Insurance Benefits,87
250.0,Therapy,87
0.0,Health Insurance,87
50.0,"Water, Trash & Exterminator Fees",87
60.0,-,87
30.0,Electricity,87
60.0,-,87
110.66,Car & Renter's Insurance,87
100.0,Cell Phone,87
81.64,Internet,87
72.82,Pet Insurance,87
6.0,for my cat and dog Dollar Shave Club,87
110.0,Remote Personal Training,87
12.98,Gym Membership: $ 92.01  Hulu,87
16.23,. Spotify Family,87
12.0,. Netflix,87
275.0,Advertisement Additional Expenses LifeLock Identity Theft Protection,87
1336.65,/year  Unlimited Spin Studio Membership,87
99.0,/year  Amazon Prime,87
1892.0,Rent,88
0.0,Student Loan Payments,88
2500.0,at the moment. (I don't earn enough and have about,88
9.8,Netflix,88
168.0,Gousto Weekly Food Box,88
195.0,Council Tax,88
32.0,"Electricity : Varies depending on usage, but at the moment it's about",88
68.0,. Internet,88
0.0,Phone Bill,88
0.0,Savings & Charity:  Currently,88
875.0,Rent,89
297.54,Student Loan Payment,89
130.0,"Internet, Gas & Electric:  ~",89
7.72,Renter's Insurance,89
136.0,Cell Phone,89
121.0,MetroCard,89
300.0,"for my monthly unlimited pass, deducted from my paycheck pre-tax Savings",89
108.9,Health Insurance,89
11.42,Dental Insurance,89
21.0,Gym Membership,89
36.63,"Netflix, Hulu, MoviePass, Apple Music & iCloud",89
1500.0,Advertisement Additional Expenses HSA Account,89
500.0,"/year. (Pre-tax, biweekly deduction, plus",89
200.0,Housing,90
400.0,". (I am extremely fortunate to own a small apartment, which is pretty unusual in this city, where property prices are sky high. I paid for it in full a few years ago using money I inherited. My only housing expenses now are the levies I pay for the building and my parking spot. I also have a flatmate, who pays me",90
167.0,Credit Card Loan,90
0.0,Advertisement Student Loan,90
83.0,Utilities:  ~,90
43.0,Internet,90
159.0,Health Insurance,90
135.0,Gym Membership,90
33.0,Cell Phone,90
210.0,Retirement Fund,90
19.0,directly deposited each month. Additional Expenses House Cleaning,90
0.0,Rent,91
500.0,Student Loan Payment,91
0.0,Netflix,91
6.0,Hulu,91
400.0,Mutual Funds Savings,91
100.0,High-Yield Savings Account,91
1000.0,Savings:  I usually transfer ~,91
3000.0,Advertisement Additional Expenses Roth IRA:  ~,91
49.0,/year Amazon Prime,91
550.0,Rent,92
1300.0,". (I rent a two-bedroom row-house with my boyfriend, James*, for",92
180.53,Student Loan Payment,92
3000.0,. (I have paid off ~,92
12000.0,so far and have ~,92
175.92,& FSA Contribution,92
290.22,,92
142.0,", with 4% company contribution Parking Garage Pass",92
120.61,Car Insurance,92
241.66,Car Payment,92
50.0,Phone,92
120.0,Utilities:  ~,92
250.0,Roth IRA,92
700.0,Savings:  ~,92
8200.0,. (I have a little over,92
300.0,Credit Card:  ~,92
500.0,-,92
1500.0,. (I have about,92
3000.0,Rent,93
0.0,Student Loan Payments,93
3000.0,"14% of my salary, plus 4% company match Savings:  I put",93
1000.0,"into a joint account with my husband that he uses to pay all our joint living expenses, and put",93
50.0,into my personal savings account.  Planned Parenthood Donation,93
15.0,The New York Times  Subscription,93
14.0,Netflix,93
75.0,Eyelash Treatment,93
90.0,Massage,93
1349.0,Rent,94
117.0,Student Loan Payment,94
110.0,Cell Phone,94
74.94,Cable & Internet,94
0.0,Car Insurance,94
50.0,Electric & Gas:  ~,94
0.0,included in our monthly housing bill Netflix,94
7.99,Hulu,94
9.99,Apple Music,94
0.99,iCloud Storage,94
14.99,Book Of The Month Subscription,94
60.0,Imperfect Produce Subscription:  ~,94
0.0,"Health, Vision & Dental Insurance",94
60.0,Savings:  ~,94
5582.0,(I recently started using the Digit app. I also have,94
400.0,Credit Card:  ~,94
875.0,Rent,95
3000.0,. (I have two roommates and our total rent is,95
0.0,Student Loan Payment,95
280.0,Car Loan Payment,95
5000.0,deducted directly from my paycheck. (I got an interest-free loan from work for,95
80.0,over 25 months. I am also paying my parents,95
0.0,Advertisement Car Insurance,95
210.0,,95
0.0,Health Insurance,95
50.0,Utilities:  ~,95
10.0,for my share.  Internet,95
0.0,for my share. Netflix,95
0.0,Amazon Prime,95
0.0,. My whole family uses my mom's account.  Cell Phone,95
40.0,Gym Membership,95
21.0,The   New York Times  Subscription,95
250.0,for Sunday delivery and online access Savings,95
1450.0,Mortgage,96
730.0,Student Loan Payment,96
560.0,Credit Card Loan,96
1100.0,for bar exam prep course fees Savings,96
28.0,Wine Delivery Service,96
54.0,Phone,96
54.0,Gym,96
8.45,Netflix,96
14.0,Spotify,96
2100.0,Advertisement Joint Account,96
57.0,"Internet, TV & Landline",96
138.0,Council Tax,96
88.0,Mortgage Insurance,96
65.0,Gas & Electricity,96
27.0,Boiler Breakdown Cover,96
45.0,Water,96
30.0,Household Insurance,96
112.0,House Cleaner,96
0.0,Rent,97
500.0,Student Loan Payment,97
100.0,Utilities,97
50.0,Phone Bill,97
400.0,Savings,97
600.0,-,97
3000.0,. (I have a total of,97
10.0,Spotify,97
20.0,Bus Card,97
350.0,Advertisement Additional Expenses Gym Membership,97
228.0,Car Payment,98
0.0,for my leased car Phone,98
80.0,. It's on my company's plan and costs me nothing out of pocket.  Health Insurance:  ~,98
1000.0,I put in 5% and my company matches it with another 5% Savings,98
300.0,Utilities,99
380.0,Car Insurance,99
213.0,Cell Phones,99
45.0,Internet,99
50.0,Health Insurance,99
30.0,Pet Insurance,99
35.0,Coffee of the Month Club,99
12.0,Netflix,99
12.0,Hulu,99
45.0,Internet,99
300.0,Savings,99
600.0,,99
375.0,/paycheck for him and,99
3.0,New York Times  Subscription,100
12.0,Netflix,100
170.0,Cell Phone,100
200.0,Cable & Internet,100
2600.0,Childcare,100
600.0,Evening Nanny,100
200.0,Kid Activities,100
150.0,"toward swim, soccer, and music classes Electric & Gas",100
50.0,Water,100
100.0,Lawn Service,100
15000.0,Savings:  We move money into savings whenever there is a balance in our checking account over,100
180.0,Car Insurance & Cell Phone:  I'm on a family plan and pay my parents,101
75.0,/month.  Gym Membership,101
123.0,". My gym is a complete luxury that I know is way out of my price range, but I absolutely love it.  Health Insurance",101
10.0,; it's not offered through work. I have my own plan. Netflix,101
10.59,Apple Music,101
180.0,"Savings:  Because my take-home pay varies so greatly, it's hard for me to commit to a monthly savings amount. Recently, I have been putting my waitressing tips into my checking account and my managing paycheck into savings. If I only work my scheduled managing hours, my paycheck is",101
300.0,each week. I usually work more than that though. I put more in savings if I have a good week waitressing. My tips each week vary from,101
800.0,-,101
500.0,or more;,101
500.0,Savings,102
500.0,Credit Card,102
30.0,Therapy,102
40.0,/week Health & Dental Insurance,102
75.0,pre-tax Phone,102
9.99,Spotify,102
121.0,MetroCard,102
99.0,but my job reimburses me Amazon Prime,102
0.0,"Cable, Internet & Power",102
4.99,Student Spotify,103
14.5,— and includes a Hulu subscription Wi-Fi,103
0.0,Phone Bill,103
0.0,. My phone bill is still covered by my parents. Netflix,103
75.0,— covered by an ex-Tinder guy. Nothing better than ending things  and  getting to keep the Netflix password. Roth IRA,103
150.0,Parking,104
73.9,Wi-Fi,104
36.95,split evenly with my boyfriend (,104
70.0,Phone Payment,104
12.92,Hulu,104
400.0,Health Insurance:  I'm on my parents' insurance for three more months Credit Card Debt,104
600.0,-,104
3000.0,. I have a total of,104
1500.0,in credit card debt (,104
100.0,". Savings:  No monthly savings, but this month I started to put",104
111.9,Benefits,105
34.0,"for health, dental, vision, and FSA Water:  ~",105
43.0,Gas:  level payments of,105
35.0,/month Electric:  level payments of,105
7.99,/month  Hulu,105
39.99,Internet,105
19.99,Sling TV,105
0.0,Netflix,105
0.0,. I use my mom's account Cell Phone,105
173.0,— covered by work Car & Rental Insurance,105
120.0,Savings,105
200.0,just to have liquid cash Credit Card Debt:  Whatever cash is left in my checking at the end of the month goes toward paying off my credit card balance. That's usually about,105
405.5,/month.  Retirement Contribution,105
95.0,Gym Membership,106
15.0,HBO,106
9.99,Spotify,106
35.0,Match.com,106
100.0,. I need to cancel this. Cell Phone,106
150.0,. About half is reimbursed by work. Rent The Runway,106
45.0,Cell Phone,107
300.0,to my mom; we split a family plan Utilities:  ~,107
99.0,"for gas, electric, water, cable, internet, and parking. Since our apartment comes with a free spot, my roommate and I split the cost of the second. I pay upfront, and my roommate sends me half on Venmo.  Dropbox",107
200.0,/year Medical Membership,107
45.0,/year Amazon Prime,107
4.0,/year. I share with my brother and need to be careful not to buy anything embarrassing! Netflix:  I use my brother's account. HBOGo:  Use my boyfriend's account. Yoga Download,107
40.0,Calm App,107
55.0,/year ClassPass:  I have a five-class pass for,107
680.0,,107
275.0,plus,107
250.0,from my employer match Roth IRA,107
185.0,Travel Savings Account,107
100.0,"Emergency Fund:  Since I hit my goal, I've stopped contributing. Transportation",107
3000.0,/month is taken out of my paycheck pre-tax HRA:  My job generally gives employees,107
920.0,Rent,108
300.0,"for my half of the two-bedroom, two-bath apartment I share with a roommate Student Loan Payments",108
400.0,but I usually pay,108
500.0,-,108
0.0,Car Payment,108
149.84,". I paid off my car last year after three years of owning it. Health, Dental, & Vision Insurance",108
51.0,taken directly from my paychecks Parking,108
123.81,taken directly from my paychecks TV & Internet,108
10.0,". I pay this, and my roommate pays for all other utilities. Gym Membership",108
1800.0,Savings,108
900.0,,108
66.0,taken directly from my paychecks pre-tax Advertisement Additional Expenses: Netflix,108
495.0,Cell Phone,108
424.3,,108
400.0,Home Owners Association Fees,109
800.0,. (We split the full,109
300.0,Student Loan:  ~,109
200.0,Car Loan:  ~,109
200.0,Parking Space,109
15.0,ClassPass,109
120.0,Cable & Internet,109
121.0,MetroCard,109
50.0,Donations,109
50.0,"for NYC Food Bank,",109
50.0,"for Planned Parenthood,",109
20.0,for No Kid Hungry. Also about,109
5.0,/month worth of,109
9.99,Spotify,109
250.0,Roth IRA,109
30.0,Pet Insurance,109
99.0,Advertisement Additional Expenses Amazon Prime,109
500.0,/year Dog Daycare,109
150.0,every 15 visits Physical Therapy,109
683.0,Rent,110
1250.0,. (I split the full,110
430.0,Car Payment,110
105.0,Student Loans,110
58.9,Health Insurance,110
8.99,Dental Insurance,110
121.63,Retirement,110
4.15,HSA Account,110
19.99,Gym Membership,110
13.0,Hulu,110
62.0,Bed,110
74.0,Dog Insurance,110
200.0,Credit Card,110
13.0,Renters Insurance,110
300.0,Savings Account,110
693.0,Rent,111
600.0,Student Loan Payments:  ~,111
587.03,(I pay,111
40.0,toward a private student loan and,111
12.0,Hulu,111
0.0,Cell Phone,111
0.0,Health Insurance,111
75.0,Climbing Gym,111
16.0,Spotify,111
0.0,Rent,112
181.26,Loan Payments:  None. My parents paid for my education. Health Insurance,112
40.0,E-ZPass:  Usually around,112
42.0,. Phone Bill,112
5500.0,Advertisement Additional Expenses Roth IRA Contribution:  I make one yearly lump sum contribution of,112
1280.0,Rent,113
0.0,Student Loan Payments,113
0.0,Phone,113
74.0,"Advertisement Health, Dental & Vision",113
30.0,pre-tax Internet & Electricity,113
15.0,ClassPass,113
10.0,Spotify,113
2.99,iCloud Storage,113
0.0,Amazon Prime & Netflix,113
500.0,Savings,113
1000.0,-,113
25000.0,. (I currently have,113
160.0,"Additional Expenses Retirement:  My company has a pension plan that auto-contributes 9% of my pre-tax earnings. If I stay at this company for my entire career, I will retire with my full salary for the rest of my life. Therapy",113
900.0,Rent,114
0.0,for one room in a three-bedroom house Student Loan Payments,114
117.0,Car Insurance,114
29.99,Gym Membership,114
60.0,Gas & Electricity:  ~,114
840.0,-80  Savings,114
600.0,Contribution,114
65.34,"Health, Dental & Vision Insurance",114
947.5,Rent,115
300.0,Student Loan Payment,115
379.48,Auto Loan Payment,115
57.84,Phone Bill,115
0.0,"Utilities, Netflix & Internet",115
8.92,Health & Dental Insurance,115
515.0,pre-tax Additional Expenses Auto Insurance,115
229.0,for six months Renter's Insurance,115
770.0,Rent,116
345.0,for my room in a three-bedroom apartment  Student Loan Payments,116
80.0,"Electricity, Gas & Internet:  ~",116
193.66,Car Insurance,116
106.0,Phone Bill,116
75.0,ClassPass,116
150.0,Therapy:  ~,116
7.99,after medical reimbursement Hulu,116
7.5,The New York Times  App,116
9.99,Texture Magazine App,116
10.99,Netflix,116
121.0,MetroCard,116
300.0,"3% of salary, pretax Roth IRA:  ~",116
50.0,Charitable Donations,116
525.0,Rent,117
0.0,Health Insurance,117
140.0,Car Loan Payments,117
0.0,"to my dad Hulu, Netflix & Xfinity",117
52.0,Massage Therapy,117
25.0,Chiropractor,117
0.0,Therapist,117
500.0,"Savings:  Varies, but I usually try to save between",117
1000.0,-,117
5000.0,but I am hoping to invest about,117
850.0,Rent,118
200.0,Student Loan Payment,118
250.0,Car Payment,118
300.0,for my leased car Credit Card Debt:  ~,118
9000.0,. (I have,118
130.24,Health & Dental Insurance,118
80.0,", taken out of my paycheck pre-tax. Electric & Internet:  ~",118
146.0,Car Insurance,118
22.0,YMCA Gym Membership,118
5.99,CBS Go,118
10.0,Hulu,118
0.0,Netflix,118
7.5,Spotify,118
100.0,", split with my housemate. Advertisement Additional Expenses Savings",118
850.0,Rent,119
0.0,split with boyfriend Student Loan Payments,119
212.0,Health   Insurance,119
55.0,Internet,119
0.0,Cell Phone,119
100.0,Electricity,119
10.79,Spotify,119
0.0,Netflix,119
99.0,Dropbox,119
116.0,Car Insurance,119
0.0,Climbing Gym Membership,119
600.0,Every month I withdraw,120
200.0,"and divide it into physical envelopes for various expenses, including food (",120
15.0,and the following:  Gym Membership,120
100.0,Car Insurance,120
40.0,Petco,120
15.0,Costco,120
950.0,Advertisement Additional Expenses Rent,120
0.0,Student Loan Payment,120
430.0,Car Loan Payment,120
400.0,"for my Subaru, which includes third party extended warranty.  Roth IRA",120
80.0,Phone Bill,120
110.0,Market America Vitamins & Household Items,120
160.0,-,120
1000.0,Savings,120
30000.0,. (I currently have about,120
120.0,UPS Store Mailbox,120
99.0,Amazon Prime Subscription,120
0.0,/year Netflix,120
950.0,Deductions:  ~,121
70.0,", and life insurance  Utilities:  ~",121
160.0,Cable & Internet,121
80.0,Investments,121
120.0,Car Insurance,121
200.0,Savings:  I am trying to save at LEAST,121
400.0,/month into a travel and emergency fund. I also put whatever I feel comfortable with at the end of each month to another savings account. Credit Card Debt:  ~,121
30.0,"total between a few cards. I had a lot of debt from college and my early 20s when I wasn't very responsible with money. I had a second job the past few years, and that income was used to get this balance down a lot.  Therapy",121
60.0,-,121
80.0,depending on how often I go that month. Spa Membership,121
43.0,"for acupuncture and massages; self-care is important. Spotify, Netflix, Hulu & HBO Now",121
25.0,Charitable Donations,121
10.0,to our local Planned Parenthood and,121
200.0,Utilities,122
14.99,Apple Music,122
0.0,,122
1000.0,but my husband contributes,122
0.0,from his paycheck. Insurance,122
300.0,. I'm covered by my husband's policy. Phone,122
9.99,"for both phones and plans. The price is high, as we had no U.S. credit when we moved here and ended up with a terrible plan. Netflix",122
7.95,Hulu,122
0.0,HBO,122
0.0,. I mooch from a friend.  Amazon Prime,122
50.0,. Mooch from a friend. Cat Supplies,122
300.0,"for litter, food, and toys Savings:  ~",122
30.0,Transportation,123
37.6,. I usually take the bus to work and anywhere else. Phone Bill,123
45.2,-,123
41.0,. This is covered by my employer. iPhone,123
25.0,". My employer generously paid for the two-year plan and I pay him back every first of the month in installments. Adobe, Microsoft Office & Spotify",123
0.0,Netflix,124
4.0,. I use my aunt's account. Television,124
30.0,Mobile Phone,124
30.0,Internet,124
85.0,Electricity,124
25.0,Gas,124
25.0,Water,124
20.0,Insurance,124
20.0,for my daughter's school insurance and the house insurance Health Insurance,124
80.0,for my daughter and me. It's,124
37.0,but half is paid by my employer; it's the law in France. Daughter's Dance Class,124
42.0,Daughter's Tennis Class,124
0.0,Childcare,124
150.0,. My grandmother takes care of my daughter before and after school. Savings,124
100.0,split between my daughter's and my own savings account Holiday Piggy Bank,124
26.0,Bus Card,124
52.0,. The monthly cost is,124
60.0,Donations,124
20.0,"split among The Red Cross, Doctors Without Borders, and Greenpeace My Little Box Subscription",124
16.0,Birchbox Subscription,124
0.0,Rent,125
375.0,"(Per my contract, my employer pays my rent, which is about",125
1297.67,Student Loan Payment,125
30.0,"Health Insurance:  I have national health insurance, which covers general doctors, dentists, and optometrists. Half of the cost is covered by my employer, and the other half (about",125
38.0,is deducted from my income.  Phone,125
0.0,Internet,125
60.0,School Lunches:  ~,125
50.0,Utilities,125
80.0,-,125
35.0,Building Maintenance Fee:  ~,125
0.0,Netflix,125
100.0,Savings,125
60.0,Health Insurance,126
35.0,Internet,126
300.0,. I have to call and renegotiate every year. Stock Purchase Plan:  ~,126
5.99,pre-tax  Hulu,126
7.99,Netflix,126
9.99,MoviePass,126
47.5,Gym Membership,126
0.0,Cell Phone,126
950.0,Housing,127
120.0,"for a corner studio in the historic center; additionally, I pay my landlord",127
727.0,/month for fiber internet and all utilities. Credit Card Debt,127
150.0,for credit card repayment. I was irresponsible for a couple of years in my 20s and negotiated low rates on my own to repay. All Other Expenses Gym & Social Club Membership,127
240.0,"/month; includes free movies, music events, and more. Dog Walker",127
230.0,/month Transit Pass,127
200.0,/quarterly for two zones unlimited Health Insurance,127
0.0,"/quarterly. I have free public healthcare but opt to pay for private, too. Netflix",127
0.0,. I mooch off of a friend in the States. Spotify,127
18.52,. I use my parents' family account. Skype,127
0.0,/quarterly to maintain a U.S. number and plenty of credit to call anywhere in the world Phone,127
1000.0,Savings,128
750.0,auto-transferred from checking to savings account Family Maintenance,128
45.0,". My parents generously paid for my university tuition but my Asian mother hates the idea of payback. We agreed to call it ""paying it forward,"" and I've wired money home ever since my first paycheck. Currently, it helps to cover my brother's tuition and campus rent. Internet",128
45.0,Phone Bill,128
10.0,Netflix,128
30.0,Gym Fee,129
35.0,to freeze my Equinox membership Gym Membership,129
9.99,Paris gym membership Spotify,129
2.99,TheSkimm App,129
20.84,Renters Insurance,129
32.41,iPhone,129
55.0,Phone Bill,129
600.0,I put in the highest match amount: 6%. Regular Savings,129
2000.0,Investment Account,130
1200.0,/month; my husband contributes ~,130
1200.0,.  Pension,130
850.0,; and my husband contributes ~,130
300.0,/month. Both of our companies pay half of this.  Personal Insurance,130
80.0,. My work pays for my private health insurance.  iPhone,130
600.0,"/month, and my work provides a work iPhone that they pay for.  Miscellaneous Bills",130
30.0,", toward council tax, internet, TV license, fortnightly cleaner, gas and electricity, Sky and Netflix subscriptions.  Magazine Subscriptions:  ~",130
49.99,Internet,131
206.0,Health Insurance,131
7.99,. I'm a contractor and therefore have to get insurance on my own. Hulu,131
100.0,Bitcoin & Other Cryptocurrency:  ~,131
35.0,Gym Membership,132
15.0,Spotify Family,132
3.0,Groovebook,132
2500.0,Preschool,133
50.0,Gym,133
240.0,for my husband's membership Music Lessons,133
120.0,for one kid's piano lessons  Cable & Internet,133
1660.0,Travel,133
20000.0,/month. We allocate,133
320.0,/year toward travel and spend ~,133
250.0,/month renting a car to do mini-trips outside of NYC.  Term Life Insurance,133
6.0,. I have,133
1.0,million on my head and,133
121.0,million on my husband. Metro Card,133
30.0,for a monthly pass. I also spend about,133
415.0,/month on taxis. Donations,133
40.0,Transportation:  My employer subsidizes my monthly T pass and I pay,134
10.0,. Netflix,134
133.0,Invisalign,134
5.0,My Cell Phone,134
15.0,o Partner's Cell Phone,134
120.0,; he's on his family's plan. Car Insurance,134
45.0,Internet,134
37.3,Electric,134
38.64,Gas,134
415.0,Groceries,134
100.0,Amazon Prime,134
25.0,/year Gym,134
276.93,,134
980.0,/week from my paycheck and company matches 6%. I save for Eric's retirement too as he has no benefits. Check To Eric,134
250.0,Fiancé's Student Loans,135
37.25,"— totally voluntary. My college education was paid for with a mix of in-state tuition, scholarships, grants, and my parents, who helped more than one kid. They're badass and I hope to do the same for my children. Electric",135
27.28,Water,135
37.5,Internet,135
53.79,Cell Phone,135
80.0,Car Insurance,135
