title,value,diary_index
Savings,"I usually transfer ~$1,000/month from my checking account and spread it among my two savings accounts and loan debt. (My employer doesn't offer a retirement program until you've been at the company for a full year, so the savings money will be going towards my Roth and traditional IRAs for the next few months.)",52
Roth IRA,"~$3,000/year",52
Amazon Prime,$49/year,52
Occupation,Media Relations Representative,53
Industry,Healthcare,53
Age,25,53
Location,"Baltimore, MD",53
Salary,"$62,878",53
Paycheck (2x/month),"$1,890",53
Rent,"$550. (I rent a two-bedroom row-house with my boyfriend, James*, for $1,300 total. He pays more because he makes more. We definitely got a steal because it usually costs way more to rent in Baltimore.)",53
Student Loan Payment,"$180.53. (I have paid off ~$3,000 so far and have ~$12,000 left.)",53
"Insurance (Health, Dental & Vision) & FSA Contribution",$175.92,53
403(b),"$290.22, with 4% company contribution",53
Parking Garage Pass,$142,53
Car Insurance,$120.61,53
Car Payment,$241.66,53
Phone,"$50. (I'm still on my parents' plan, but I pay them to cover my unlimited data and Galaxy S7 payment.)",53
Utilities,~$120,53
Roth IRA,$250,53
Savings,"~$700. (I have a little over $8,200 in savings. I have savings accounts for house stuff, major purchases, a Betterment investment account, and travel.)",53
Credit Card,"~$300-$500. (I have about $1,500 total in credit card debt.)",53
Occupation,Deputy Director,54
Industry,High Tech,54
Age,34,54
Location,Silicon Valley,54
My Salary,"$100,000",54
My Husband's Salary,"$170,000, plus RSUs",54
CombinedPaycheck (2x/month),"$10,096",54
Rent,"$3,000",54
Student Loan Payments,"$0. (My parents paid for my undergrad and I paid for grad school by saving up and working full-time. I lived on a very tight budget, but it was worth it because I’m 100% debt free now. Oddly, my husband did the same thing, although we weren’t together at the time, so neither of us have any debt.)",54
401(k),"14% of my salary, plus 4% company match",54
Savings,"I put $3,000 into a joint account with my husband that he uses to pay all our joint living expenses, and put $1,000 into my personal savings account.",54
Planned Parenthood Donation,$50,54
Subscription,$15,54
Netflix,$14,54
Eyelash Treatment,$75,54
Massage,$90,54
Occupation,SNAP (Food Stamps) Advocate,55
Industry,Non-Profit,55
Age,24,55
Location,"Somerville, MA",55
Salary,"$40,000",55
Paycheck (2x/month),"$1,045 after taxes, retirement, and a car loan deduction",55
Babysitting,$250-$350/month,55
Rent,"$875. (I have two roommates and our total rent is $3000, but I chose the tiny room, so I pay the least.)",55
Student Loan Payment,"$0. (My parents paid for my education, which I am incredibly grateful for.)",55
Car Loan Payment,"$280, deducted directly from my paycheck. (I got an interest-free loan from work for $5,000 over 25 months. I am also paying my parents $80/month for 20 months for a loan I took out from them.)",55
Car Insurance,"$0. (I still have my car registered in Minnesota, where I'm from, and it's under our family plan.)",55
403(b),"$210. (7% of my paycheck. It's still my first year at my job, so my agency isn't matching my contribution yet.)",55
Health Insurance,$0. (I'm still on my dad's plan.),55
Utilities,~$50 for my share.,55
Internet,$10 for my share.,55
Netflix,$0. (I use my parents' account.),55
Amazon Prime,$0. My whole family uses my mom's account.,55
Cell Phone,$0. (Also still paid for by my parents.),55
Gym Membership,$40,55
Subscription,$21 for Sunday delivery and online access,55
Savings,"$250, directly transferred from my checking account",55
Occupation,Lawyer,56
Industry,Media,56
Age,29,56
Location,London,56
Salary,"$122,500",56
Paycheck (1x/month),"$6,200",56
Mortgage,"$1,450 for my half. (I split equally with my boyfriend.)",56
Student Loan Payment,$730. (Nearly. Done. YES.),56
Credit Card Loan,$560 for bar exam prep course fees,56
Savings,"$1,100 split between an ISA, funding circle, and a holiday account. (Once my student debts are paid off, I'm going to be paying much more into savings.)",56
Wine Delivery Service,$28. (Don't judge.),56
Phone,$54,56
Gym,$54,56
Netflix,$8.45,56
Spotify,$14,56
Joint Account,"$2,100. (My boyfriend and I both contribute to this account each month to cover the below expenses, as well as our groceries and the occasional nice meal or holiday.)",56
"Internet, TV & Landline",$57,56
Council Tax,$138,56
Mortgage Insurance,$88,56
Gas & Electricity,$65,56
Boiler Breakdown Cover,$27,56
Water,$45,56
Household Insurance,$30,56
House Cleaner,$112,56
Occupation,Social Worker,57
Industry,Nonprofit,57
Age,28,57
Location,"New York, NY",57
Salary,"$52,000",57
Paycheck (Biweekly),"$1,514",57
Rent,$0.(My fiancé covers it.),57
Health Insurance,"$44.44, out of my paycheck",57
Internet,"$70, split between my fiancé and me",57
Electricity,"$30-$120, depending on our A/C usage",57
Gym,$0. (My parents pay.),57
Netflix,$0. (My brother pays for it as my birthday present.),57
Hulu: $0.,(I use my fiancé's account.),57
Student Loan Payment,"$0. (I am paying off my grad school directly without loans. I still owe my school $1,700, but I have until May.)",57
Zumba Certification,$30,57
403(b),$400,57
IRA,"Whatever is leftover in my account, with a max of $5,500/year.",57
Occupation,Vacation Rental Manager,58
Industry,Real Estate,58
Age,30,58
Location,"Jacksonville, FL",58
Full-Time Job Salary,"$30,000",58
Part-Time Job,"~$13/hour. (The hours I get vary. Usually, I make about $100-$250/month.)",58
My Husband's Salary,"$128,000",58
Combined Paycheck (2x/month),"$4,780 after 403(b) contribution",58
Mortgage,"$1,684. My husband and I bought a foreclosure in a beach neighborhood a few years ago and are fixing it up slowly but surely. My husband's sister (who has special needs) lives with us as well.",58
Student Loan Payment,$50 for mine. (My husband's student loans are deferred right now.),58
Car Payment,"$1,330, combined",58
"Medical, Dental, Vision & Life Insurance",$385,58
My Husband's 403(b),"$366.94, which his company matches",58
Aflac,$122. (We carry three policies.),58
Apple Lease,$57. (Because my husband always has to have the newest technology.),58
Cell Phone,$168. (We pay for ours and his sister's.),58
Comcast TV & Internet,$208-$230,58
Office Programs (For My Work),$36,58
Utilities,"$434. (I work from home and my sister-in-law is often home, so electricity is usually high. She also does a lot of showering and hand-washing, which makes our water bill a little high.)",58
SoFi Remodel Loan,$887,58
Car Insurance,$250.74,58
Doggie Daycare,$190,58
Instant Ink Subscription,$10.95,58
Disney Vacation Club Membership,$206/year,58
Occupation,Patient Care Technician,59
Industry,Healthcare,59
Age,24,59
Location,"Boston, MA",59
Income,$18/hour,59
Paycheck (2x/month),"~$1,300. (Depends on differentials and overtime. Also, my insurance and transportation pass are taken out of my paycheck.)",59
Rent,"$1,175. (I share a two-bedroom apartment with a roommate. It's tiny but in an amazing location!)",59
Student Loan Payment,$178,59
"Electric, Heat & A/C",~$30,59
Cable & Internet,$44.55,59
Netflix,$10. (My sister uses my account.),59
Hulu,$0. (I use my sister's account.),59
Gym,"$55, after work discount",59
Occupation,Attorney,60
Industry,Law,60
Age,35,60
Location,Alabama,60
Salary,"$115,000",60
Paycheck (2x/month),"$2,343",60
Rent,"$700. (I rent an in-law suite from a family friend. It's completely separate with its own entrance, kitchen, laundry, etc.)",60
Student Loan Payments,"~$1,000 (for undergrad and law school)",60
Car Loan Payment,$305,60
Utilities,"~$150. (I split power, gas, utilities, and internet with the owner of the house.)",60
Car Insurance,$65,60
401(k),$900,60
Savings,"$1,172. (This is 20% of my net pay and it goes into a money market account at a separate bank. I basically never see this money, except when I check the balance. I treat it as untouchable.)",60
"Health, Dental & Vision Insurance","$250. (This is my contribution, and my employer covers the balance.)",60
Cell Phone,$45,60
"Netflix, Hulu & Spotify",$0. (I use friends' and family members' accounts.),60
Le Tote Subscription,$74. (I have only been using this for about four months and am debating if I am going to keep it.),60
Amazon Prime,$100/year (includes streaming),60
Massage Package,"$400, paid twice per year. (I go every three to four weeks for a relaxation massage. It is hugely helpful for shoulder aches and pains. I buy a package to reduce the cost.)",60
Chewy Dog Food & Supplies,$92.97 every six weeks,60
Occupation,Project Manager,61
Industry,Real Estate,61
Age,35,61
Location,San Francisco,61
Salary,"$125,000",61
Annual Bonus,20-25% of my salary,61
Paycheck (2x/month),"$3,100",61
Rent,"$1,800. (I live alone in a studio apartment.)",61
Student Loan Payment,$0. (I finally paid them off last year with my annual bonus! I had zero help from my parents.),61
"Medical, Vision & Dental Insurance","My employer contributes $3,400 every year to an HSA card. I pay everything outright until I reach the $2,000 deductible, and then it mostly works out to everything being covered by my employer.",61
401(k),"10% of salary, pre-tax. (Company matches 4%.)",61
Savings,"$1,000 ($500 of which goes in Stash.)",61
Credit Card,"$1,200. (I have $6,000 total on a 0% interest-free balance transfer. Once this is paid off, I believe I can remain credit card debt free.)",61
Cell Phone,"$0. (My work pays for my work cell phone and I didn’t want two cell phones, so I only use this one.)",61
Google Cloud Storage,$1.99,61
Cable & Internet (Includes HBO),$71,61
Electric,$20-$25,61
Spotify Premium,$9.99,61
Squarespace,$7,61
MealPal,$84,61
Netflix & Hulu,$0. (I trade my HBO login for access to a friend's Netflix and Hulu accounts.),61
Occupation,Lead Toddler Teacher,62
Industry,Early Education,62
Age,24,62
Location,"Cambridge, MA",62
Salary,"$32,800",62
Paycheck Amount (2x/month),"$1,009",62
Rents,"$1,000. (I live with one roommate and we each pay this amount. Heat and hot water are included in our rent.)",62
Health Insurance,"Free, through work.",62
Student Loan Payment,"$0. (Thank you, Mom and Dad!)",62
Spotify,$9.99,62
Netflix,$0. (I use my sister's account.),62
Internet/TV,$77.59,62
Electricity,My roommate covers the electric bill.,62
MBTA Pass,$84.50. (My work pays $31.73 per pay period.),62
Occupation,Analyst,63
Industry,Consulting,63
Age,22,63
Location,"Arlington, VA",63
Salary,"$66,000",63
Paycheck (2x/month),"$1,733.40",63
Rent,"$1,422.50. (Includes underground parking. I share two-bedroom, two-bathroom apartment with a friend.",63
Student Loan Payment,$0. (I had financial aid and family assistance throughout college.),63
Health Insurance,"$30 from my paycheck for medical, $6 for dental",63
HSA,$18.50. (My employer matches $500/year.),63
Car Loan,$0. (I bought a used car at age 16.),63
Spotify,$0. (I'm on my brother's plan.),63
Amazon Prime,$0. (On my family's plan.),63
Subscription,$0. (I have a student membership that my family covers.),63
Gym Membership,$18. (Half is covered by work.),63
Wi-Fi,$40,63
Electric,$48,63
Water,$24,63
Gas,$50-$75,63
Renters Insurance,$10,63
401(k),$72,63
Roth IRA,"$458. (Trying to contribute this amount, at least! I started working full time only a few months ago, so I am finally over the hump of moving expenses/adjustments.)",63
Occupation,IT Analyst,64
Industry,Pharmaceuticals,64
Age,22,64
Location,"Somerville, MA",64
Salary,"$65,000",64
Paycheck (2x/month),"$1,506 post deductions and taxes",64
Rent,$900 for one room in a three-bedroom house,64
Student Loan Payments,$0. (I received a full academic scholarship for my undergrad and worked to pay for living costs.),64
Car Insurance,$117,64
Gym Membership,$29.99,64
Gas & Electricity,~$60-80,64
Savings,$840,64
401(k) Contribution,$600 pre-tax. (My employer also contributes 5% of my salary.),64
"Health, Dental & Vision Insurance","$65.34, deducted pre-tax",64
Occupation,Executive Recruiter,65
Industry,Professional Services,65
Age,26,65
Location,"Austin, TX",65
Salary,"$80,000. (Plus ~$20,000 in bonuses paid out as I reach milestones on my projects at work.)",65
Paycheck (2x/month),"$2,485.69",65
Rent,$947.50. (I live in a two-bedroom apartment in South Austin with my boyfriend. We split the rent evenly.),65
Student Loan Payment,$300,65
Auto Loan Payment,$379.48,65
Phone Bill,$57.84. (I'm on a family plan with my boyfriend.),65
"Utilities, Netflix & Internet",$0. (I have an agreement with my boyfriend where he pays the bills and I pay for all our groceries. It more or less evens out.),65
Health & Dental Insurance,$8.92 pre-tax,65
Auto Insurance,$515 for six months,65
Renter's Insurance,$229/year,65
Occupation,Recruiting Director,66
Industry,Executive Staffing,66
Age,27,66
Location,"Brooklyn, NY",66
Salary,"$70,000",66
Commission,"$40,000-$80,000/year",66
Paycheck (Weekly),$765.45 (after healthcare and commuter benefits deductions),66
Rent,$770 for my room in a three-bedroom apartment,66
Student Loan Payments,$345,66
"Electricity, Gas & Internet",~$80,66
Car Insurance,$193.66,66
Phone Bill,$106,66
ClassPass,$75,66
Therapy,~$150 after medical reimbursement,66
Hulu,$7.99,66
App,$7.50,66
Texture Magazine App,$9.99,66
Netflix,$10.99,66
MetroCard,"$121 monthly unlimited card, taken out of weekly paycheck pre-tax",66
401(k),"3% of salary, pretax",66
Roth IRA,~$300,66
Charitable Donations,"$50, split between End the Backlog, ASPCA, and Shatterproof",66
Occupation,Behavioral Health Manager,67
Industry,Mental Healthcare,67
Age,24,67
Location,Seattle,67
Salary,"$52,000",67
Paycheck (2x/month),"$1,860.40",67
Rent,$525 for my half of a one-bedroom apartment that I share with my boyfriend. (Utilities are included.),67
Health Insurance,$0. (I'm on my parents' insurance plan until I turn 26.),67
Car Loan Payments,$140 to my dad,67
"Hulu, Netflix & Xfinity",$0. (I use the accounts of various friends and family members.),67
Massage Therapy,$52. (I go to a massage school and this is my monthly cost for an hour-long massage/cupping session with tip. I have chronic neck and back pain and massage is incredibly helpful.),67
Chiropractor,"$25 copay. (Again, this is necessary for my chronic pain.)",67
Therapist,$0. (My insurance covers all of my therapy copays!),67
Savings,"Varies, but I usually try to save between $500-$1,000/month depending on my spending habits.",67
Retirement,"I don't have a 401(k) set up yet (poor planning for the future, I know) but I am hoping to invest about $5,000 in Ellevest in the next few months.",67
Occupation,Program Manager,68
Industry,Nonprofit,68
Age,27,68
Location,"Worcester, MA",68
Salary,"$51,000",68
Paycheck (4x/month),$603 post-taxes,68
Rent,$850,68
Student Loan Payment,$200,68
Car Payment,$250 for my leased car,68
Credit Card Debt,"~$300. (I have $9,000 in total outstanding credit card debt.)",68
Health & Dental Insurance,"$130.24, taken out of my paycheck pre-tax.",68
Electric & Internet,~$80. (I split internet with my friend/housemate. We each have our own apartment but live on the same floor of a renovated house. It's a real-life situation.),68
Car Insurance,$146,68
YMCA Gym Membership,$22,68
CBS Go,$5.99,68
Hulu,$10,68
Netflix,"$0. (Thanks, Mom!)",68
Spotify,"$7.50, split with my housemate.",68
Savings,"$100 of each of my paychecks automatically goes into savings each week, but sometimes when I'm not cautious with my spending I have to pull from savings to pay rent or other bills.",68
Occupation,Freelance Graphic Designer,69
Industry,Design,69
Age,29,69
Location,"Missoula, MT",69
Salary,"~$18,000",69
Paycheck,"~$1,500 a month, pre-tax (varies, paid per project)",69
Rent,"$850, split with boyfriend",69
Student Loan Payments,$0. (My wonderful parents paid my in-state college tuition.),69
HealthInsurance,$212,69
Internet,$55,69
Cell Phone,$0. (Mom is still paying for now. Bless her.),69
Electricity,$100,69
Spotify,$10.79,69
Netflix,$0. (I use my mom's account.),69
Dropbox,$99,69
Car Insurance,"$116 for our two cars. (Our van is still insured for Philadelphia, which makes it double the cost of our truck!)",69
Climbing Gym Membership,$0. (Boyfriend pays.),69
Occupation,Project Engineer,70
Industry,Biomedical Engineering,70
Age,28,70
Location,"Los Angeles, CA",70
Salary,"$71,400",70
Paycheck (1x/month),"$3,698.96 after taxes, 401(k), health, dental, and vision insurance",70
Gym Membership,$15,70
Car Insurance,$100,70
Petco,$40,70
Costco,$15,70
Rent,"$950, including utilities. (I live with my boyfriend in a condo that he owns. We split the rent.)",70
Student Loan Payment,$0. (My parents paid for my college tuition.),70
Car Loan Payment,"$430 for my Subaru, which includes third party extended warranty.",70
Roth IRA,$400,70
Phone Bill,$80 (for my share of the family plan),70
Market America Vitamins & Household Items,$110-$160 (varies depending on items),70
Savings,"$1,000. (I currently have about $30,000 in total savings.)",70
UPS Store Mailbox,$120/year. (I get my packages delivered here because I don't trust my neighborhood.),70
Amazon Prime Subscription,$99/year,70
Netflix,$0. (I use my boyfriend's brother's account.),70
Occupation,ESL Teacher,71
Industry,Education,71
Age,23,71
Location,"Ulsan, South Korea",71
Salary,"$~23,000",71
Paycheck (1x/month),"$1,930",71
Rent,"$0. (Luckily, the program I work for covers my apartment!)",71
Student Loan Payment,$500. (I took out a private loan my freshman year of college and I'm aggressively trying to pay it off.),71
Utilities,$100,71
Phone Bill,$50,71
Savings,"$400-$600. (I have a total of $3,000 in savings.)",71
Spotify,$10,71
Bus Card,$20,71
Gym Membership,$350 for six months. (Gyms in Korea are interesting; you pay a lump sum to join.),71
Occupation,Associate Consultant,72
Industry,Healthcare IT,72
Age,24,72
Location,"Kansas City, MO",72
Salary,"$49,500",72
Paycheck (2x/month),"$1,405.87",72
Rent,"$655.50, which includes hot water and renter's insurance. (I have one roommate and my portion of the rent is a bit higher because I have the master bedroom.)",72
Student Loan Payment,$158.33,72
Internet,"$60, split with my roommate",72
Utilities,$40-$70,72
Gym,$20,72
Cell Phone Bill,$114,72
Car Insurance,$124,72
Savings,$420. (I have 15% of my check automatically go to my savings account every pay period.),72
"Netflix, HBO & Starz",$0. (I use my family and friends' accounts.),72
Apple iTunes,$4.99,72
401k,6%. (My company matches 3%.),72
"Dental, Medical & Vision Insurance",$55 per paycheck,72
Occupation,Financial Software Sales Executive,73
Industry,Software Sales,73
Age,27,73
Location,New York,73
Salary,"$95,000",73
Paycheck Amount (2x/month),"$2,256",73
Rent,"$1,350. (My boyfriend owns the two-bedroom apartment we live in and I pay him much less than market value.)",73
Student Loan Payment,"$120, from my Master's degree in finance. (I have about $8,000 left to pay off.)",73
Phone Bill,: $110,73
Gym Membership,$60,73
Yoga Studio Membership,$99,73
Health Insurance,$215,73
Roth IRA,$600,73
GMAT Study Prep,$99,73
Metro Card,"$121, with my flexible spending card.",73
Psychiatrist Sessions,"$200, not covered by insurance.",73
Occupation,Writer/Freelance Copywriter,74
Industry,Creative,74
Age,26,74
Location,London,74
MySalary,"$16,825",74
My Fiancé's Salary,"$70,000. (My fiancé and I combined our finances a couple of years ago. At the moment, and much to my discomfort, I am relying on him financially while I get myself properly set up with freelance clients.)",74
Combined Paycheck (1x/month),": ~$5252, after tax",74
Rent,"$1,892",74
Student Loan Payments,"$0 at the moment. (I don't earn enough and have about $2,500 worth of credit card debt that I'm trying to pay off ASAP.)",74
Netflix,$9.80,74
Gousto Weekly Food Box,$168,74
Council Tax,$195,74
Electricity,": Varies depending on usage, but at the moment it's about $32.",74
Internet,$68,74
Phone Bill,"$0. (I'm still on my family plan, which I should probably change at some point.)",74
Savings & Charity,"Currently $0. (I left my job over a year ago due to anxiety-related problems and wasn't able to work for a long time afterwards. I've been freelancing properly since November, but am not making a decent wage quite yet. Until I am, and until I've paid off my credit card, contributions to savings and charities are on hold.)",74
Occupation,Children's Librarian,75
Industry,Public Library,75
Age,28,75
Location,"Cleveland, OH",75
Salary,"$27,000",75
Paycheck Amount (2x/month),"$1,142.25. ($99 is taken out of each paycheck for my health insurance.)",75
Housing,"$300. (I live with my boyfriend in a house he owns, but I pay him monthly for the mortgage.)",75
Loan Payments,"$357. (This payment is for a personal loan I took out to consolidate the credit card debt I hope to pay off by the time I'm 30. I am extremely lucky to have no student loans – my father teaches at the university where I attended school, so I got a tuition waver.)",75
Netflix,$0. (We use my mom's.),75
Spotify Premium,$10.75,75
MoviePass,$9.95,75
Car Insurance,$47,75
Savings,~$100,75
Phone Bill,~$75,75
Occupation,Associate Marketer,76
Industry,Marketing,76
Age,25,76
Location,"Charlotte, NC",76
Salary,"$68,250",76
Paycheck (2x/month),"$2,028",76
Rent,"$1,181, which includes pet rent, hot water, and valet trash pick-up",76
Student Loan Payment,$200,76
Cell Phone,"~$80. (I’m still on the family plan, so I Venmo my dad each month.)",76
401k,I contribute 4% pre-tax and my company matches up to 3%.,76
Savings,"Anything I don’t spend goes to savings, so I try to put in between $500 and $1,000 each month.",76
Health Insurance,$0. (I’m still on my mother’s plan for now! I will have to get my own this year though.),76
Internet,$70,76
Netflix,$11.76,76
Hulu,$12.81,76
Spotify,$15.99. (I have a family plan and pay for my sister's account.),76
Electricity,$40,76
Subscription,: $15,76
Occupation,Project Director,77
Industry,Substance Abuse Treatment,77
Age,31,77
Location,"Long Beach, CA",77
Salary,"$75,000",77
Paycheck Amount (2x/month),"$1,998",77
Rent,"$0. (My husband pays rent and I pay for utilities and food. We keep our finances separate, which works well for us. We have joint savings goals, however, we are free to spend our money how we please as long as we take care of our individual responsibilities. We discuss large purchases and budgeting together, though.)",77
Student Loan Payment,$605,77
Utilities,$270,77
Phone Bill,$95,77
Gas,$140,77
Tithes,$200,77
Car Insurance,$95,77
Disneyland Pass,$114,77
Medical Insurance,$500,77
Credit Card,$800,77
Private Practice,$200,77
Gym Membership,$40,77
Daycare,$400,77
Occupation,Structural Engineer,78
Industry,Consulting,78
Age,28,78
Location,Singapore,78
Salary,"$48,630",78
Paycheck Amount (1x/month),"$4,050",78
Rent,$720 for my share. (I live with three housemates.),78
Student Loan Payments,"None. (I paid off my $33,300 in student loans three years ago.)",78
"Utilities, Internet & Cleaning",~$91,78
Health Insurance,$o. (Doctor's visits and specialists' treatments are covered by my company.),78
Private Health & Life Insurance,$122,78
Pension,$202. (My company matches 80% of it.),78
Phone Bill,$24,78
PublicTransportation Card,$30,78
Income Tax,$182. (Interest-free monthly payment of last year's income tax.),78
Investment,"$600, automatically taken out of my savings account to invest in Singapore's Straits Times Index.",78
Savings,"~$730, most of which will go into my Vanguard Index Fund eventually.",78
Occupation,Assistant,79
Industry,IT,79
Age,23,79
Location,Phoenix,79
Salary,"$37,800",79
Paycheck Amount (2x/month),"$1,119",79
Rent,$725 for my half of rent and hot water. (I live with a roommate and my two dogs.),79
Student Loan Payments,"$194.75. (Just made it to under $10,000!)",79
"Health, Dental & Vision Insurance",$159.78. (It comes straight out of my paycheck.),79
Wifi,$26,79
Electricity,~$50. (~$100 in the summer when we use the air conditioning a lot.),79
Transportation,$64 for an unlimited pass,79
Cell Phone Bill,"$83, paid to my mom",79
Savings,$120 minimum,79
Netflix/Hulu/HBO,All paid for by family members generous enough to give me their passwords.,79
Spotify,"$36, paid once a year",79
Occupation,Luxury Travel Manager,80
Industry,Hospitality,80
Age,26,80
Location,Connecticut,80
Salary,"$52,000",80
Paycheck (2x/month),"$1,425",80
Housing Costs,"$0. My company pays for my housing ($2,000/month), but I am responsible for internet ($70) and the electric bill ($120-$200) each month. I live alone for part of the year, and I have a roommate during the summer.",80
Student Loan Payments,$300,80
Car Payment,$387,80
All Other Apple Music,$9.99. It's a necessity.,80
Audible,$22.95. I drive quite a bit and audiobooks helps me enjoy the time.,80
Netflix,$8.99,80
s,"$15. After the last election, I felt it was my civic duty to keep myself, and everyone around me, aware.",80
Dropbox,$9.99,80
Verizon,$120-$200. My company pays for $150 of my phone bill. I am responsible for any additional costs (mostly international calls on my part).,80
Car Insurance & Registration,"$120. I pay my auto insurance bi-annually, so every month, I have an automatic withdrawal set up.",80
Savings,$500. I set up an auto-withdrawal on the first of each month to put $500 into savings. Sometimes I'll add more.,80
Occupation,Graduate Assistant,81
Industry,Academia,81
Age,25,81
Location,"Philadelphia, PA",81
Salary,"$13,500",81
Paycheck,"$1,500/month, for nine months of the year.",81
Part-Time Nannying Job,"~$600. I left my full-time salaried job (where I was severely overworked and underpaid) in order to pursue my graduate degree late last summer. To give you an idea, my current take-home income as a grad student and nanny is actually slightly than I was making after taxes at my ""grown-up"" job. It was a scary risk, but I am so much happier and more fulfilled.",81
Housing Costs,"$1,000, split 50-50 with my boyfriend",81
Loan Payments,$0. I'm in grad school and currently not making any payments on my student loans.,81
All Other Netflix,$9,81
HBO Now,$13,81
Health Insurance,$98,81
Gas,$25-$75,81
Power,~$45,81
"Cat Supplies (Food, Litter, etc.)",$50,81
Credit Card Debt,"$150 minimum. It's been a rough year with very unexpected expenses, including emergency vet and dental bills. Those took a huge hit on both my savings and my credit card balance. I'm working hard to compensate for both.",81
Savings,$150 minimum,81
Occupation,Executive Recruiter,82
Industry,"Healthcare, Digital Media, Finance",82
Age,29,82
Location,"Chicago, IL",82
Salary,"$35,000",82
Paycheck (2x/month),"$1,053.67. I have a commission plan as well and it can be anywhere from an additional $1,000 to $5,000",82
Housing Costs,"$747.50. My best friend and I moved to Chicago together spur of the moment over the summer after our divorces. We rent a teeny, tiny walk-up apartment together.",82
Loan Payments,"$137. I have about $16,000 left to pay on the original $23,000.",82
All Other Credit Card Debt,"$450. I went through a nasty divorce and was left with half of our marital debt at the end. Most of it was his, but Georgia is an equal opportunity state. I won't make this mistake ever again.",82
Electric,~$50. (Gas and water are included.),82
Wi-Fi & Basic Cable,"$50, which my roommate covers. I pay for electric so we just call it even.",82
Hulu & Netflix,$9.99. I pay for Hulu and a girlfriend pays for Netflix.,82
Phone,$89,82
401(k),"5% of every paycheck, and my company matches.",82
"Medical, Dental, Health & Life Insurance",$101 of each paycheck,82
Unlimited MetraCard,$141 pre-tax,82
Investments: ~,$200. I use Acorns and have a small monthly amount going into various Bitcoin investments.,82
Occupation,Financial Planner,83
Industry,Financial Services,83
Age,29,83
Location,Wisconsin,83
Salary,"$114,000",83
Housing Costs,"$1,240 mortgage payment, which includes escrow for property taxes. I bought my first home at age 24 and live (mostly) alone with my two dogs. My boyfriend is in the process of officially moving in (he practically already lives with me), but he isn't able to help out with expenses at this time.",83
Loans,$0. I was very fortunate to have had financial help during college from my parents.,83
"All Other Health, Dental & Vision Insurance",$216; my company covers the rest.,83
401(k),"10% of my income with a 4% company match. This, along with my taxes and insurance, is automatically withheld from my paycheck.",83
"Auto, Homeowner & Umbrella Liability Insurance",$136,83
Life Insurance Premium,$40 each quarter,83
Roth IRA,$458/month,83
Savings,$833,83
Electricity,~$250,83
Internet,$47,83
Netflix & HBO,$0. I use my boyfriend's accounts.,83
Apple Music,$10.50,83
Lawn Service,$130 each quarter,83
Cell Phone,$60,83
Gym Membership,$42,83
Massage Envy Membership,$60,83
Dog Grooming,$50,83
Credit Card Debt,"None. Typically, I charge $2,500/month, and  I pay that off in full every month. I rarely use cash for anything to try to take advantage of the 1.5% cash back rewards my card offers. This covers groceries, dining out, entertainment, travel-related expenses, and other discretionary spending.",83
Occupation,School Counselor,84
Industry,Education,84
Age,27,84
Location,"Washington, DC",84
Salary,"$56,687",84
Paycheck Amount (monthly),"$3,443",84
Housing Costs,"$1,125. I share a two-bedroom apartment and split rent evenly.",84
Loan Payments,"$491. I'm paying off about $40,000 in graduate school loans.",84
All Other Retirement & Health Insurance,"I have around $790/month taken out of my paycheck pre-tax for various retirement accounts, as well as $145 for health and dental insurance.",84
Roth IRA,$50,84
Car Insurance,$50.25,84
Cell phone,$50,84
Internet,$45 (my half),84
Power,$20 (my half),84
iCloud storage,$3,84
Spotify Premium,$0.99 (trial),84
Savings,"$550 for the summer. We don't get paid for two months of the year, so we have to set money aside to pay ourselves. It's a pain, but has made me a very careful budgeter!",84
ClassPass,$55,84
Occupation,Project Controller,85
Industry,Finance,85
Age,35,85
Location,"Boston, MA",85
Household Income,"$250,000 (including husband's salary)",85
My Salary,"$83,000",85
Paycheck (2x/month),"$2,050",85
Housing,"$4,000 mortgage",85
Loan Payments,$300 for undergraduate student loans,85
All Other Pet Insurance,$65,85
Phone Bill,$85,85
Frozen ClassPass,$15,85
Water Bill,$85 (jointly paid by husband and me),85
Car Insurance,$125 (jointly paid by husband and me),85
Energy Bill,"$100, varies by season. (jointly paid by husband and me)",85
Robo-Investment Account,"$1,600",85
Health Insurance,$300,85
401(k),$700,85
Occupation,Behavioral Health Counselor,86
Industry,Healthcare,86
Age,29,86
Location,"Anchorage, Alaska",86
Salary,"$53,000",86
Paycheck (2x/month),"$1,516",86
Housing Costs,$600,86
Student Loan Payments,"$186. I still owe $12,709 but I'm paying off other debts more aggressively right now.",86
All Other Medical & Dental,$95 (taken out of my paycheck),86
Gym Membership,$21,86
Car Insurance,$78,86
Car Payment,"$400. I only owe $280/month, but I overpay over each month.",86
Streaming Services,"$43 for YouTube Red, Spotify, Netflix, and Hulu. I stream a lot and let my friends mooch because I'm a saint.",86
Cell Phone,$135. Phone service in Alaska is ridiculous.,86
Credit Card Debt,"$80. This fluctuates. I try to keep my CC at zero, but sometimes I use it when I lose my debit card (so, so frequently) and it accumulates about $100-$200.",86
"Miscellaneous Debts (Creditors, etc.)","~$300. I've been aggressively paying off medical and utility debts I racked up when I was worse off financially. I've paid off a number of creditors and I'm down to just the one, THANK GOD. Less than $2,000 left!",86
Savings,$300,86
Occupation,Product Manager,87
Industry,Tech,87
Age,29,87
Location,"San Jose, CA",87
Salary,"$112,000",87
